osm_id,other_tags
6028276,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.7_20070910"",""tiger:tlid""=>""75970027"",""tiger:upload_uuid""=>""bulk_upload.pl-51784f5e-9d82-42b4-af22-dae4e2c70e31"""
6028283,"""access""=>""private"",""lanes""=>""2"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Fairfax"",""tiger:name_type""=>""Sq"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""22031"",""tiger:zip_right""=>""22031"""
6028288,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.7_20070910"",""tiger:tlid""=>""75969665"",""tiger:upload_uuid""=>""bulk_upload.pl-51784f5e-9d82-42b4-af22-dae4e2c70e31"""
6028297,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
6028300,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
6028335,"""access""=>""private"",""oneway""=>""yes"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
6028349,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""yes"""
6029714,"""access""=>""private"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Barristers Keepe"",""tiger:name_type""=>""Cir"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""22031"",""tiger:zip_right""=>""22031"""
6029716,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Barristers Keepe"",""tiger:name_type""=>""Cir"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""22031"",""tiger:zip_right""=>""22031"""
6029718,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Barristers Keepe"",""tiger:name_type""=>""Cir"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""22031"",""tiger:zip_right""=>""22031"""
6029733,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Oliver"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""yes"",""tiger:zip_left""=>""22030"",""tiger:zip_right""=>""22030"""
6029805,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Jenny Lynne"",""tiger:name_type""=>""Ln"",""tiger:zip_left""=>""22030"""
6051219,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:name_base""=>""Mc Chord"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"""
6051222,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:name_base""=>""Mc Chord"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"""
6051287,"""access""=>""private"",""sidewalk""=>""no"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:name_base""=>""Capitol"",""tiger:name_direction_prefix""=>""S"",""tiger:name_direction_suffix""=>""SE"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"",""tiger:"
6051323,"""access""=>""private"",""parking:lane:both""=>""perpendicular"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051326,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051342,"""access""=>""private"""
6051362,"""access""=>""private"",""sidewalk""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:name_base""=>""12th"",""tiger:name_direction_suffix""=>""NW"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"",""tiger:separated""=>""no"",""tiger:source""=>""tig"
6051376,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051380,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051536,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051541,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051556,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051581,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051600,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051604,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051846,"""access""=>""private"",""sidewalk""=>""left"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051882,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051924,"""access""=>""private"",""covered""=>""no"",""oneway""=>""yes"""
6051938,"""access""=>""private"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051941,"""access""=>""private"",""lanes""=>""2"",""maxspeed""=>""30 mph"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051974,"""access""=>""private"""
6051986,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051992,"""access""=>""private"",""maxspeed""=>""10 mph"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6051994,"""access""=>""private"",""maxspeed""=>""10 mph"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052006,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052019,"""access""=>""private"",""maxspeed""=>""25 mph"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052028,"""access""=>""private"""
6052046,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052052,"""access""=>""private"",""sidewalk""=>""both"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:name_base""=>""14th"",""tiger:name_direction_suffix""=>""NW"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"""
6052058,"""access""=>""private"",""tiger:cfcc""=>""A63"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052060,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052075,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""District of Columbia, DC"",""tiger:reviewed""=>""no"""
6052077,"""access""=>""private"""
6052078,"""access""=>""private"""
